InputSize,SelectionSort(ms),HeapSort(ms),BubbleSort(ms)
500,1.157700,0.285300,2.244500
1000,3.232200,0.503500,7.566100
1500,6.286200,0.776400,20.671800
2000,13.021500,0.728000,20.601900
2500,10.847400,0.818900,33.585100
3000,18.511400,1.209400,52.160200
3500,15.119100,1.033500,46.984200
4000,21.539600,0.967500,63.394100
4500,28.045400,1.089500,80.594200
5000,33.115400,1.816700,96.577400
5500,42.419100,1.915200,145.378200
6000,68.345900,2.029700,180.347600
6500,97.755700,2.530300,268.565700
7000,95.140800,3.045100,296.912900
7500,92.639000,2.570000,310.286000
8000,131.237600,3.425100,396.509200
8500,121.784600,3.704100,410.968800
9000,129.489500,4.231400,520.688900
9500,143.350300,3.245900,550.390600
10000,186.349200,3.392500,633.733000
10500,208.759400,3.032300,652.270900
11000,198.864100,5.675000,724.714400
11500,243.220800,5.572300,846.311000
12000,264.702200,3.122700,936.193500
12500,261.263300,3.429700,916.031400
13000,283.976000,5.965700,823.490100
13500,291.624600,6.239100,1143.555900
14000,267.893900,4.098800,1069.575800
14500,465.433700,6.384100,1331.006100
15000,457.749200,4.226600,1501.098600
15500,465.348200,5.487000,1493.099600
16000,380.617600,7.298200,1628.659100
16500,506.146300,4.651600,1537.487800
17000,536.918300,5.131000,1663.838700
17500,446.256700,8.049200,1727.491700
18000,568.229600,5.417300,1841.097100
18500,516.020100,8.778400,1835.753900
19000,539.259800,5.872300,2214.800900
19500,611.563100,6.090900,2056.573100
20000,650.050200,5.997300,2154.066300
20500,731.829400,9.684100,2495.707800
21000,847.217000,8.030700,2385.565500
21500,764.236100,10.162600,3066.602300
22000,893.729700,7.090700,2647.456000
22500,934.010900,10.044300,2978.373700
23000,969.192000,10.917700,3608.725000
23500,895.291200,7.248000,2974.612600
24000,873.727000,7.123400,3298.722300
24500,1000.770300,7.602700,3108.091300
25000,1223.182700,5.313000,3389.495400
25500,1037.407500,5.741200,3870.508900
26000,1706.992300,14.001600,3869.515600
26500,1701.074100,12.802600,4531.794400
27000,1549.972800,12.441200,4347.410900
27500,1766.961800,13.026100,4455.841800
28000,1904.711400,12.820000,5135.779900
28500,1795.959600,9.186900,4354.867400
29000,1882.410000,9.210300,4735.370300
29500,1768.855000,12.588200,5243.551700
30000,1815.016800,9.056500,5158.732200
30500,1682.663000,9.520700,5502.182900
31000,1836.509000,14.365000,5606.687400
31500,2096.620300,11.402800,6349.629000
32000,2043.878300,15.435800,5995.910400
32500,2180.324000,15.551100,6529.007500
33000,2140.580400,15.817300,6439.486700
33500,1874.866700,10.937600,6686.388900
34000,2524.169800,12.771700,6731.939700
34500,2648.934000,16.221100,6876.048900
35000,2311.820700,12.022200,7118.213900
35500,2208.718000,11.403400,7572.082500
36000,2487.931000,17.478500,7558.154900
36500,2823.578200,17.734000,8327.574600
37000,2385.216200,13.297400,9033.846000
37500,2691.345500,13.900600,8379.435100
38000,3233.899800,14.706700,9275.153400
38500,2859.078200,21.597300,10423.251900
39000,3176.989500,23.812400,8994.403700
39500,3332.872300,19.817500,8780.055600
40000,3355.665500,13.534100,9822.227100
40500,3279.697800,16.807300,9079.787100
41000,2839.650200,13.178700,8487.179500
41500,2977.161300,14.022200,8728.792000
42000,2230.259800,14.094800,8226.262400
42500,2282.053500,13.795500,8354.529500
43000,2344.146600,13.924000,8659.963900
43500,2566.388300,13.998900,8938.803900
44000,2438.906900,19.898500,9012.362900
44500,2499.617800,14.360400,9173.864900
45000,2627.438100,14.114000,10293.394500
45500,3019.078500,14.741900,13331.046000
46000,3809.703300,22.667100,11954.275600
46500,3276.727800,17.530100,13442.965600
47000,3611.937700,19.950000,12723.774600
47500,3942.548800,21.546500,14115.593000
48000,3759.843300,16.774400,13242.110700
48500,3585.342800,16.715700,13508.403900
49000,3687.267700,16.428800,14284.801600
49500,4043.111700,26.647400,16814.019200
50000,4083.200600,24.850500,16540.232200
50500,4767.661300,25.868900,16731.605600
51000,4671.996100,17.748700,17294.537600
51500,4316.177500,24.921400,15590.642000
52000,4934.394500,16.976200,16615.962300
52500,4066.227100,28.269700,17225.445600
53000,4592.105400,26.341200,17059.916400
53500,4695.764200,23.560900,18090.562900
54000,4981.717500,28.763000,18159.303900
54500,4876.373800,27.023100,18931.037600
55000,5008.614200,19.353000,18526.034700
55500,5285.493500,20.994100,19028.793100
56000,5799.861000,29.288200,19686.436600
56500,5422.912200,26.272500,19127.135900
57000,5645.167500,32.226700,20397.074500
57500,5785.540000,23.809900,21111.964400
58000,5771.475700,31.608800,20822.973800
58500,6037.277400,19.836900,20697.956800
59000,5587.636600,25.198000,23455.359900
59500,5727.699800,20.361000,20714.587200
60000,5776.423100,20.742800,22681.222000
60500,6380.195300,32.059300,22258.392100
61000,5957.958600,29.396300,20479.158300
61500,5922.357600,19.868200,22698.389400
62000,5863.889500,29.141700,24434.562200
62500,6171.486900,22.433700,22319.240500
63000,6230.915500,28.322500,22168.517900
63500,6049.519600,32.406400,23867.389900
64000,6236.442400,23.790800,25632.756300
64500,6529.516400,33.168500,25897.368900
65000,7020.540600,28.887400,21731.921700
65500,5381.356400,21.510200,20004.927100
66000,5468.979500,22.349300,20948.907500
66500,5663.810500,37.854800,20635.902100
