InputSize,RQS_rand(ms),LQS_rand(ms),RQS_sort(ms),LQS_sort(ms),RQS_revs(ms),LQS_revs(ms)
500,0.135700,0.122500,0.095200,2.485200,0.129800,1.470800
1000,0.362100,0.281100,0.216300,8.039800,0.201500,4.443000
1500,0.438500,0.405900,0.334800,19.887700,0.270900,13.296000
2000,0.802700,0.661800,0.478800,39.538200,0.613600,19.774300
2500,0.691000,0.609000,0.431400,25.755200,0.224300,14.098900
3000,0.421200,0.638100,0.310300,32.370800,0.283800,17.569000
3500,0.546600,0.444100,0.310300,49.182100,0.334000,24.199700
4000,0.555700,0.498900,0.346600,57.657300,0.373400,30.953900
4500,0.762000,0.583600,0.398000,79.758000,0.441400,39.111700
5000,0.692500,0.651100,0.500300,88.453400,0.472900,48.570600
5500,0.911500,0.742400,0.531100,158.404100,0.841300,97.000100
6000,1.631900,1.379800,0.995600,210.440600,0.929100,110.685800
6500,1.684100,1.821300,1.045000,236.030000,0.820500,97.568400
7000,1.085000,0.982200,0.660100,269.406000,1.390500,127.510500
7500,2.077400,1.884800,1.389400,255.187000,0.754000,111.417700
8000,1.248700,1.695100,0.822900,304.153300,1.383000,181.207900
8500,2.092500,2.334300,2.059900,336.217600,1.910600,153.845300
9000,1.429800,1.262500,0.830800,397.728300,1.518500,237.529800
9500,3.056000,3.414400,2.347000,426.501600,1.010100,251.932100
10000,3.559500,2.875400,1.867800,573.182100,1.902000,284.677900
10500,1.635600,2.028600,1.006700,484.016300,1.798600,359.983900
11000,3.572900,4.968000,1.549700,727.261300,1.885300,390.858800
11500,2.314000,2.404500,2.258200,774.949700,2.353600,387.505100
12000,3.598800,4.166800,3.047100,733.894100,1.945700,424.982300
12500,3.489900,3.544800,2.727800,831.231400,3.781800,554.443700
13000,2.162200,1.904700,1.278700,1025.457300,3.655000,538.042200
13500,3.654100,3.430900,2.626900,1057.469800,3.021100,485.943800
14000,2.440800,2.462100,1.417800,947.485200,2.726900,582.773600
14500,2.362600,2.083700,1.773300,1044.414800,2.075000,539.012000
15000,3.051300,2.521500,1.756400,1233.285100,2.941800,587.890100
15500,4.810200,6.900300,4.320200,1285.265600,4.155400,607.625400
16000,2.690200,2.401900,1.828700,1437.382600,2.904000,542.611300
16500,4.528500,4.273500,5.524600,1367.590400,1.789300,506.252600
17000,2.815500,2.585600,3.227200,1418.826300,1.756600,728.560600
17500,4.661000,5.376400,3.243000,1504.862900,1.945700,630.179800
18000,5.212300,4.598900,3.594200,1703.448200,2.269400,804.476400
18500,6.029700,6.886400,4.082800,1804.027500,3.921400,796.742600
19000,4.155400,4.537700,2.033800,1931.273700,3.198000,887.117800
19500,6.364300,5.211900,4.998400,2045.944000,3.592600,957.198800
20000,6.530800,4.675300,5.529100,2199.620100,2.187000,858.968300
20500,6.448800,6.153800,4.384600,2201.843700,3.766400,1035.664700
21000,6.395600,5.382000,2.996500,2166.342900,4.037800,881.832600
21500,3.754300,3.700700,3.586100,2352.858100,2.494800,1085.808500
22000,3.779800,3.394800,3.307600,2191.725100,2.743800,1073.796600
22500,6.300700,6.220700,3.382000,2603.224300,2.476200,1113.566300
23000,3.858900,3.563700,2.830000,2602.434600,4.468400,1199.564500
23500,6.459800,4.308900,3.994900,2484.949100,3.755100,1105.195200
24000,5.049200,6.568800,4.108800,2619.314000,5.558200,1167.929400
24500,7.257300,7.917800,6.414500,2756.619500,3.651900,1148.061800
25000,4.323800,4.053400,3.209300,3124.873300,2.742000,1221.582700
