InputSize,HashTableAvgTime,BinarySearchAvgTime
500,0.000159,0.000119
1000,0.000104,0.000138
1500,0.000185,0.000135
2000,0.000237,0.000150
2500,0.000153,0.000218
3000,0.000296,0.000155
3500,0.000121,0.000147
4000,0.000182,0.000152
4500,0.000205,0.000252
5000,0.000071,0.000147
5500,0.000122,0.000149
6000,0.000193,0.000217
6500,0.000109,0.000148
7000,0.000081,0.000158
7500,0.000081,0.000150
8000,0.000083,0.000152
8500,0.000131,0.000166
9000,0.000111,0.000160
9500,0.000079,0.000157
10000,0.000086,0.000156
10500,0.000083,0.000189
11000,0.000080,0.000158
11500,0.000073,0.000192
12000,0.000071,0.000176
12500,0.000105,0.000187
13000,0.000077,0.000161
13500,0.000068,0.000160
14000,0.000089,0.000168
14500,0.000070,0.000164
15000,0.000072,0.000164
15500,0.000070,0.000177
16000,0.000069,0.000164
16500,0.000083,0.000165
17000,0.000074,0.000171
17500,0.000075,0.000165
18000,0.000067,0.000166
18500,0.000069,0.000166
19000,0.000071,0.000173
19500,0.000063,0.000183
20000,0.000064,0.000170
20500,0.000068,0.000172
21000,0.000070,0.000178
21500,0.000065,0.000180
22000,0.000077,0.000169
22500,0.000065,0.000169
23000,0.000049,0.000169
23500,0.000059,0.000170
24000,0.000083,0.000179
24500,0.000096,0.000206
25000,0.000092,0.000265
25500,0.000090,0.000266
26000,0.000057,0.000227
26500,0.000052,0.000182
27000,0.000048,0.000192
27500,0.000080,0.000271
28000,0.000051,0.000183
28500,0.000234,0.000358
29000,0.000100,0.000307
29500,0.000085,0.000232
30000,0.000095,0.000351
30500,0.000124,0.000333
31000,0.000082,0.000258
31500,0.000057,0.000185
32000,0.000090,0.000174
32500,0.000084,0.000261
33000,0.000092,0.000271
33500,0.000101,0.000176
34000,0.000093,0.000261
34500,0.000064,0.000271
35000,0.000204,0.000335
35500,0.000071,0.000181
36000,0.000104,0.000185
36500,0.000094,0.000264
37000,0.000061,0.000232
37500,0.000089,0.000263
38000,0.000121,0.000260
38500,0.000074,0.000264
39000,0.000089,0.000171
39500,0.000107,0.000174
40000,0.000053,0.000165
40500,0.000051,0.000170
41000,0.000085,0.000252
41500,0.000094,0.000168
42000,0.000106,0.000171
42500,0.000054,0.000251
43000,0.000090,0.000214
43500,0.000095,0.000177
44000,0.000064,0.000272
44500,0.000051,0.000159
45000,0.000068,0.000258
45500,0.000093,0.000246
46000,0.000084,0.000166
46500,0.000086,0.000229
47000,0.000058,0.000167
47500,0.000078,0.000167
48000,0.000051,0.000158
48500,0.000052,0.000234
49000,0.000091,0.000160
49500,0.000089,0.000161
50000,0.000059,0.000160
50500,0.000053,0.000212
51000,0.000068,0.000159
51500,0.000085,0.000159
52000,0.000057,0.000234
52500,0.000062,0.000202
53000,0.000071,0.000232
53500,0.000086,0.000156
54000,0.000085,0.000237
54500,0.000054,0.000228
55000,0.000081,0.000229
55500,0.000081,0.000240
56000,0.000052,0.000162
56500,0.000071,0.000156
57000,0.000058,0.000209
57500,0.000055,0.000149
58000,0.000051,0.000153
58500,0.000058,0.000153
59000,0.000057,0.000330
59500,0.000081,0.000227
60000,0.000082,0.000153
60500,0.000075,0.000243
61000,0.000082,0.000154
61500,0.000063,0.000158
62000,0.000086,0.000162
62500,0.000061,0.000176
63000,0.000049,0.000233
63500,0.000078,0.000161
64000,0.000089,0.000217
64500,0.000052,0.000166
65000,0.000062,0.000158
65500,0.000057,0.000158
66000,0.000085,0.000252
66500,0.000088,0.000161
67000,0.000083,0.000161
67500,0.000079,0.000147
68000,0.000052,0.000160
68500,0.000085,0.000159
69000,0.000060,0.000146
69500,0.000083,0.000160
70000,0.000052,0.000175
70500,0.000060,0.000211
71000,0.000051,0.000162
71500,0.000052,0.000231
72000,0.000051,0.000152
72500,0.000048,0.000162
73000,0.000087,0.000157
73500,0.000052,0.000153
74000,0.000082,0.000225
74500,0.000051,0.000167
75000,0.000082,0.000210
75500,0.000057,0.000149
76000,0.000054,0.000155
76500,0.000051,0.000155
77000,0.000056,0.000151
77500,0.000081,0.000151
78000,0.000083,0.000151
78500,0.000056,0.000230
79000,0.000050,0.000226
79500,0.000053,0.000197
80000,0.000055,0.000151
80500,0.000082,0.000199
81000,0.000054,0.000148
81500,0.000057,0.000223
82000,0.000093,0.000184
82500,0.000081,0.000152
83000,0.000112,0.000158
83500,0.000085,0.000232
84000,0.000063,0.000224
84500,0.000053,0.000217
85000,0.000085,0.000158
85500,0.000084,0.000197
86000,0.000085,0.000223
86500,0.000057,0.000175
87000,0.000083,0.000165
87500,0.000056,0.000194
88000,0.000057,0.000199
88500,0.000066,0.000144
89000,0.000057,0.000141
89500,0.000084,0.000162
90000,0.000053,0.000146
90500,0.000084,0.000145
91000,0.000085,0.000152
91500,0.000050,0.000141
92000,0.000083,0.000217
92500,0.000077,0.000211
93000,0.000084,0.000246
93500,0.000054,0.000219
94000,0.000063,0.000221
94500,0.000079,0.000215
95000,0.000083,0.000151
95500,0.000088,0.000230
96000,0.000102,0.000235
96500,0.000058,0.000159
97000,0.000063,0.000250
97500,0.000078,0.000223
98000,0.000092,0.000149
98500,0.000054,0.000254
99000,0.000052,0.000211
99500,0.000081,0.000147
100000,0.000052,0.000167
